rotten_tomatoes_link,movie_title,movie_info,critics_consensus,content_rating,genres,directors,authors,actors,original_release_date,streaming_release_date,runtime,production_company,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count
m/10000_bc,"10,000 B.C.","Mammoth hunter D'Leh (Steven Strait) has long been in love with a beautiful, blue-eyed tribeswoman named Evolet (Camilla Belle). After horseback-riding raiders kidnap most of his D'Leh's fellow tribesmen as well as Evolet, he sets out on a dangerous trek to rescue her from her captors.","With attention strictly paid to style instead of substance, or historical accuracy, 10,000 B.C. is a visually impressive but narratively flimsy epic.",PG-13,"Action & Adventure, Classics, Drama",Roland Emmerich,"Harald Kloser, Roland Emmerich","Steven Strait, Camilla Belle, Cliff Curtis, Joel Virgel, Affif Ben Badra, Mo Zainal, Nathanael Baring, Marco Khan, Reece Ritchie, Joel Fry, Junior Oliphant, Louise Tu'u, David Dennis, Kristian Beazley, Mona Hammond, Jacob Renton, Grayson Hunt Urwin, Fahruq Valley-Omar, Boubacar Badaine, Joe Vaz, Charles Baloyi, Tim Barlow, Gabriel Malema, Mark Simmons, Hannah Westbury, Affif Ben Badra, Mo Zinal, Omar Sharif, Farouk Valley-Omar",2008-03-07,2013-06-22,109.0,Warner Bros. Pictures,Rotten,8.0,149.0,Spilled,37.0,411140.0,37,12,137
m/10004504-ultraviolet,Ultraviolet,"In the late 21st-century, a vampiric disease modifies some people, imbuing each of them with superhuman strength, intelligence and speed. Worldwide civil war looms as normal people, feeling threatened by their enhanced brethren, demand the extermination of the group. One such transformed female (Milla Jovovich) finds herself caught in the crossfire when she becomes the protector of a boy who is perceived to be a threat to humanity.","An incomprehensible and forgettable sci-fi thriller, Ultraviolet is inept in every regard.",PG-13,"Action & Adventure, Drama, Horror, Science Fiction & Fantasy",Kurt Wimmer,Kurt Wimmer,"Milla Jovovich, Cameron Bright, Nick Chinlund, William Fichtner, Sebastien Andrieu, Ida Martin, David Collier, Kieran O'Rorke, Digger Mesch, Ryan Martin, Steven Calcote, Ricardo Mamood, Mike Smith, Clay Cullen, Jennifer Caputo, Jack Murphy, Diego Swing, Ted Thomas, Abraham Boyd, Matthew Sturgess, Alexander Key, Peter Spurrier, Russell Wait, Youlia Galenko, Luke Jackson, Christopher Garner, Duc Luu, Kurt Wimmer, Gilad Lotan, Phillip Moore, Robert Alonzo, Mitchell Gould, Daniel Hawe, Scott Piper",2006-03-03,2012-04-16,88.0,Sony Pictures,Rotten,8.0,83.0,Spilled,30.0,279994.0,21,7,76
m/10006057-moonlight,Moonlight,"Claire, a Dutch girl, discovers a wounded boy hiding in the garden shed behind her adoptive parents' luxurious home. The boy is a narcotics courier from Afghanistan, who was left for dead after being shot by drug dealers once his services were no longer needed. Claire nurses the boy back to health and develops deep feelings for him as their relationship grows. The drug dealers discover the boy is still alive, prompting Claire to leave her family and run away with the boy she now loves.",,R,"Drama, Mystery & Suspense",Paula Van der Oest,Carel Donck,"Laurien Van Den Broeck, Hunter Bussemaker, Johan Leysen, Jemma Redgrave, Andrew Howard, David Bustard, Elvir Sabanovic",2003-10-17,2020-03-13,90.0,Indican Pictures,Fresh,60.0,10.0,Upright,67.0,1430.0,6,6,4
m/10006856-requiem,Requiem,"Michaela, an epileptic, enrolls in college to study education. She goes off her medication and soon begins hearing voices and seeing apparitions that tell her to avoid religious objects, although she is devoutly Roman Catholic. One priest scoffs at the idea that Michaela could be possessed by demons, but a younger pastor arranges an exorcism for the young woman.","This harrowing, naturalistic drama holds you in its grip through Huller's intense performance.",NR,"Art House & International, Drama, Horror, Mystery & Suspense",Hans-Christian Schmid,Bernd Lange,"Sandra Hueller, Sandra Hüller, Imogen Kogge, Imogen Kog, Burghart Klaussner, Anna Blomeier, Karl Klinger, Nicholas Reinke, Jens Harzer, Walter Schmidinger, Friederike Adolph, Irene Kugler, Johann Adam Oest, Eva Loebau, Eva Löbau",2006-10-20,2017-03-23,92.0,IFC First Take,Fresh,86.0,36.0,Upright,66.0,4728.0,17,31,5
m/10007333-bon_cop_bad_cop,"Bon Cop, Bad Cop","Two policemen (Colm Feore, Patrick Huard) from different Canadian provinces must work together to solve a crime.",,R,"Action & Adventure, Comedy",Eric Canuel,"Leila Basen, Alex Epstein, Patrick Huard, Kevin Tierney","Patrick Huard, Colm Feore, Lucie Laurier, Sarah-Jeanne Labrosse, Sarain Boylan, Michel Beaudry, Patrice Bélanger, Patrice Bélanger, Sylvain Marcel, Hugolin Chevrette, Hugolin Chevrette-Landesque, Pierre Lebeau, Nanette Workman, Ron Fournier, Louis-José Houde, Ron Lea, Rick Mercer, Rick Howland, André Robitaille, Gilles Renaud, Jayne Heitmeyer, Robert Jadah, Erik Knudsen, Robert Montcalm, Sharlene Royer, Martin Thibaudeau, Tim Wheaton",2006-07-04,2017-05-12,116.0,Vivafilm,Fresh,78.0,9.0,Upright,82.0,20404.0,2,7,2
m/10007538-silence,The Silence,Photographs of a murdered woman (Ellouise Rothwell) from the 1960s prompts a cop (Richard Roxburgh) to reopen the case.,,R,"Action & Adventure, Drama, Mystery & Suspense, Television",Cate Shortland,,"Richard Roxburgh, Essie Davis, Alice McConnell, Emily Barclay, Damian De Montemas, Jennifer Hagan, Joel Tobeck, Olivia Stambouliah, Skye Wansey, Tony Barry, Toni Barry",,2016-11-18,104.0,,Rotten,50.0,6.0,Spilled,38.0,374.0,4,3,3
m/10008507-deep_water,Deep Water,"In 1968, Donald Crowhurst, an inexperienced British sailor, puts up his home as collateral, gains financial backing and enters the Golden Globe, the first nonstop boat race around the world. Under dire financial pressure, Crowhurst decides to set sail before his boat is fully built, leaving it unprepared for the stresses of the open ocean. Crowhurst is under-prepared himself, and his decision to embark before he and his vessel are ready sets a deadly chain of events into motion.","Equal parts mystery and biography, Deep Water is both an engrossing documentary and an affecting treatise on human folly and obsession.",PG,"Documentary, Special Interest","Louise Osmond, Jerry Rothwell","Louise Osmond, Jerry Rothwell","Tilda Swinton, Donald Crowhurst, Santiago Franchessie, Ted Hynds, Jean Badin",2006-09-03,2017-04-04,93.0,IFC Films,Certified-Fresh,96.0,55.0,Upright,87.0,4961.0,22,53,2
m/10008678-wild_child,Wild Child,"Sixteen-year-old Poppy (Emma Roberts) has everything her unlimited credit cards can buy, and a spoiled attitude to match. After a final thoughtless prank, her exasperated father (Aidan Quinn) ships her off to boarding school in England. There, Poppy meets her match in a stern headmistress (Natasha Richardson) and a class full of girls who will not tolerate her selfishness.","More mild than wild. This tween comedy mess falls flat on its face due to poor characters, poor direction and poor jokes.",PG-13,Comedy,"Nicholas Moore, Nick Moore",Lucy Dahl,"Emma Roberts, Shirley Henderson, Natasha Richardson, Alex Pettyfer, Aidan Quinn, Nick Frost, Daisy Donovan, Jason Watkins, Kimberley Nixon, Georgia King, Juno Temple, Linzey Cocker, Ruby Thomas, Sophie Wu, Johnny Pacar, Eleanor Turner-Moss, Shelby Young, Lexi Ainsworth",2008-08-14,2014-02-12,98.0,Universal Pictures,Rotten,41.0,27.0,Upright,61.0,17496.0,9,11,16
m/10008744-canvas,Canvas,"In a small coastal town, contractor John Marino (Joe Pantoliano) struggles to understand his wife, Mary (Marcia Gay Harden), when she starts behaving strangely. After a doctor's visit, they discover she has schizophrenia. Nothing the doctors do helps, however, so John must live with his wife's incurable mental illness, while also helping their confused child Chris (Devon Gearhart) make sense of it. But as Mary's mental state declines, John finds an unexpected source of comfort in his son.",Canvas is a faithful portrayal of mental illness highlighted by terrific performances.,PG-13,Drama,Joseph Greco,Joseph Greco,"Joe Pantoliano, Marcia Gay Harden, Devon Gearhart, Sophia Bairley, Marcus Johns, Irene B. Colletti, Darlene French-White, Emma Lockhart, Antony Del Rio, Griffin Miner, Nicholas Alexander, Bill Erfurth, Matthew T. Gitkin, Paul Lasa, Casey Travers, Tim Ware",2007-10-12,2016-01-26,101.0,Screen Media Films,Fresh,78.0,27.0,Upright,62.0,571.0,16,21,6
m/10008856-badland,Badland,Home from Iraq a soldier cannot cope with daily life.,,R,Drama,Francesco Lucente,Francesco Lucente,"Jamie Draven, Grace Fulton, Vinessa Shaw, Chandra West, Joe Morton, Tom Carey, Patrick Richards, Jake Church, Louie Campbell",2007-11-30,2017-01-19,165.0,Arcangelo Entertainment,Rotten,16.0,19.0,Spilled,54.0,294.0,7,3,16
